欣赏频道,#genre#
科幻梦工场播,http://cfss.cc/cdn/hy/15152155.m3u8
笑声传奇轮播,https://sxtv.cloudns.org/yy/1382736880
笑傲帮集轮播,https://sxtv.cloudns.org/yy/1382735555
笑傲江湖一季,https://sxtv.cloudns.org/yy/1382749896
笑傲江湖二季,https://sxtv.cloudns.org/yy/1382736914
欢乐集结号播,https://sxtv.cloudns.org/yy/1354931582
欢乐集结号三,https://sxtv.cloudns.org/yy/1382736822
欢乐集结号四,https://sxtv.cloudns.org/yy/1382736889
金星脱口秀播,https://sxtv.cloudns.org/yy/1382735552
脱口秀大会肆,http://159.75.85.63:35455/huya/30080243
脱口秀大会肆,http://cfss.cc/cdn/hy/30080243.m3u8
脱口秀大会伍,http://159.75.85.63:35455/huya/11352875
脱口秀大会伍,http://cfss.cc/cdn/hy/11352875.m3u8
吐槽大会京都,https://sxtv.cloudns.org/yy/1354936210
吐槽大会海天,https://sxtv.cloudns.org/yy/1354932379
吐槽大会二季,https://sxtv.cloudns.org/yy/1354936145
吐槽大会五季,https://sxtv.cloudns.org/yy/1354889009
娱乐扒叔轮播,http://cfss.cc/cdn/dyu/9624581.m3u8
粤语剧集轮播,http://cfss.cc/cdn/dyu/10338873.m3u8
粤语港集轮播,http://cfss.cc/cdn/dyu/9978661.m3u8
粤语轮播港剧,http://cfss.cc/cdn/dyu/9019945.m3u8
粤语经典综艺,http://cfss.cc/cdn/dyu/7919720.m3u8
粤语星爷电影,http://159.75.85.63:35455/huya/11336587
粤语星爷电影,http://cfss.cc/cdn/hy/11336587.m3u8
粤语极清电影,https://pullhw.zhaoyangyang.cn/live/8726106.flv?auth_info=bcYvsjcYnJwU88dqIbbiBwra9HFKKwcZdcgQt0UH49Q%3D.6f59644a735244734930574579534c6a
粤语版电影一,http://cfss.cc/cdn/dyu/5033502.m3u8
粤语版电影二,http://cfss.cc/cdn/dyu/6566671.m3u8
粤语版电影三,http://cfss.cc/cdn/dyu/1226741.m3u8
重温经典频道,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
星空卫视频道,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
星空卫视频道,http://wouu.net:9977/udp/239.93.0.156:2193
动作电影频道,http://58.59.47.242:8180/TV00000000000000000030@HHZT
家庭影院频道,http://58.59.47.242:8180/TV00000000000000000029@HHZT
影迷电影频道,http://58.59.47.242:8180/TV00000000000000000031@HHZT
大湾区音乐会,https://vod2-nflive.southcn.com/6c9b613dvodcq1500007626/690b5f141397757893540164754/playlist_eof.m3u8
央卫咪咕,#genre#
CCTV-01咪咕,http://ygbh666.cn/aikmigu.php?id=cctv1
CCTV-02咪咕,http://ygbh666.cn/aikmigu.php?id=cctv2
CCTV-03咪咕,http://ygbh666.cn/aikmigu.php?id=cctv3
CCTV-04咪咕,http://ygbh666.cn/aikmigu.php?id=cctv4
CCTV-05咪咕,http://ygbh666.cn/aikmigu.php?id=cctv5
CCTV-5+咪咕,http://ygbh666.cn/aikmigu.php?id=cctv5p
CCTV-06咪咕,http://ygbh666.cn/aikmigu.php?id=cctv6
CCTV-07咪咕,http://ygbh666.cn/aikmigu.php?id=cctv7
CCTV-08咪咕,http://ygbh666.cn/aikmigu.php?id=cctv8
CCTV-09咪咕,http://ygbh666.cn/aikmigu.php?id=cctv9
CCTV-10咪咕,http://ygbh666.cn/aikmigu.php?id=cctv10
CCTV-11咪咕,http://ygbh666.cn/aikmigu.php?id=cctv11
CCTV-12咪咕,http://ygbh666.cn/aikmigu.php?id=cctv12
CCTV-13咪咕,http://ygbh666.cn/aikmigu.php?id=cctv13
CCTV-14咪咕,http://ygbh666.cn/aikmigu.php?id=cctv14
CCTV-15咪咕,http://ygbh666.cn/aikmigu.php?id=cctv15
CCTV-17咪咕,http://ygbh666.cn/aikmigu.php?id=cctv17
CCTV4欧咪咕,http://ygbh666.cn/aikmigu.php?id=cctv4o
CCTV4美咪咕,http://ygbh666.cn/aikmigu.php?id=cctv4a
CGTN纪咪咕,http://ygbh666.cn/aikmigu.php?id=cgtnjl
CGTN西咪咕,http://ygbh666.cn/aikmigu.php?id=cgtne
CGTN法咪咕,http://ygbh666.cn/aikmigu.php?id=cgtnf
CGTN阿咪咕,http://ygbh666.cn/aikmigu.php?id=cgtna
CGTN俄咪咕,http://ygbh666.cn/aikmigu.php?id=cgtnr
发现之旅咪咕,http://ygbh666.cn/aikmigu.php?id=fxzl
央老故事咪咕,http://ygbh666.cn/aikmigu.php?id=lgs
央中学生咪咕,http://ygbh666.cn/aikmigu.php?id=zxs
家庭影院咪咕,http://ygbh666.cn/aikmigu.php?id=chcjt
动作电影咪咕,http://ygbh666.cn/aikmigu.php?id=chcdz
东方卫视咪咕,http://ygbh666.cn/aikmigu.php?id=dfws
吉林卫视咪咕,http://ygbh666.cn/aikmigu.php?id=jlws
青海卫视咪咕,http://ygbh666.cn/aikmigu.php?id=qhws
陕西卫视咪咕,http://ygbh666.cn/aikmigu.php?id=sxws
湖北卫视咪咕,http://ygbh666.cn/aikmigu.php?id=hubws
江西卫视咪咕,http://ygbh666.cn/aikmigu.php?id=jxws
江苏卫视咪咕,http://ygbh666.cn/aikmigu.php?id=jsws
广东卫视咪咕,http://ygbh666.cn/aikmigu.php?id=gdws
湾区卫视咪咕,http://ygbh666.cn/aikmigu.php?id=dwqws
央卫频道,#genre#
CCTV-01频道,http://123.52.87.69:52200/hls/1/index.m3u8
CCTV-01频道,http://zhancheng.x3322.net:6699/live/1001/index.m3u8
CCTV-02频道,http://123.52.87.69:52200/hls/2/index.m3u8
CCTV-02频道,http://zhancheng.x3322.net:6699/live/1002/index.m3u8
CCTV-03频道,http://123.52.87.69:52200/hls/3/index.m3u8
CCTV-03频道,http://zhancheng.x3322.net:6699/live/1003/index.m3u8
CCTV-04频道,http://123.52.87.69:52200/hls/4/index.m3u8
CCTV-04频道,http://zhancheng.x3322.net:6699/live/1004/index.m3u8
CCTV-05频道,http://123.52.87.69:52200/hls/5/index.m3u8
CCTV-05频道,http://zhancheng.x3322.net:6699/live/1005/index.m3u8
CCTV-5+频道,http://123.52.87.69:52200/hls/17/index.m3u8
CCTV-5+频道,http://zhancheng.x3322.net:6699/live/1018/index.m3u8
CCTV-06频道,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV-07频道,http://123.52.87.69:52200/hls/7/index.m3u8
CCTV-07频道,http://zhancheng.x3322.net:6699/live/1007/index.m3u8
CCTV-08频道,http://123.52.87.69:52200/hls/8/index.m3u8
CCTV-08频道,http://zhancheng.x3322.net:6699/live/1008/index.m3u8
CCTV-09频道,http://123.52.87.69:52200/hls/9/index.m3u8
CCTV-09频道,http://zhancheng.x3322.net:6699/live/1009/index.m3u8
CCTV-10频道,http://123.52.87.69:52200/hls/10/index.m3u8
CCTV-10频道,http://zhancheng.x3322.net:6699/live/1010/index.m3u8
CCTV-11频道,http://123.52.87.69:52200/hls/11/index.m3u8
CCTV-11频道,http://zhancheng.x3322.net:6699/live/1011/index.m3u8
CCTV-12频道,http://123.52.87.69:52200/hls/12/index.m3u8
CCTV-12频道,http://zhancheng.x3322.net:6699/live/1012/index.m3u8
CCTV-13频道,http://zhancheng.x3322.net:6699/live/1013/index.m3u8
CCTV-14频道,http://123.52.87.69:52200/hls/14/index.m3u8
CCTV-14频道,http://zhancheng.x3322.net:6699/live/1014/index.m3u8
CCTV-15频道,http://123.52.87.69:52200/hls/15/index.m3u8
CCTV-15频道,http://zhancheng.x3322.net:6699/live/1015/index.m3u8
CCTV-16频道,http://219.139.42.24:8001/hls/16/index.m3u8
CCTV-16频道,http://zhancheng.x3322.net:6699/live/1016/index.m3u8
CCTV-17频道,http://123.52.87.69:52200/hls/16/index.m3u8
CCTV-17频道,http://zhancheng.x3322.net:6699/live/1017/index.m3u8
CCTV4欧洲台,http://221.221.153.193:8888/rtp/239.3.1.213:4220
CCTV4美洲台,http://221.221.153.193:8888/rtp/239.3.1.214:4220
CGTN_英语台,http://182.104.192.98:8180/TV00000000000000000041@HHZT
CGTN_纪录台,http://221.221.153.193:8888/rtp/239.3.1.216:4220
CGTN_西语台,http://221.221.153.193:8888/rtp/239.3.1.217:4220
CGTN_法语台,http://221.221.153.193:8888/rtp/239.3.1.218:4220
CGTN_阿语台,http://221.221.153.193:8888/rtp/239.3.1.219:4220
CGTN_俄语台,http://221.221.153.193:8888/rtp/239.3.1.220:4220
凤凰中文频道,http://182.104.192.98:8180/TV00000000000000000008@HHZT
凤凰中文频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰电影频道,http://117.114.153.18:8180/TV00000000000000000072@HHZT
世界地理频道,http://zhancheng.x3322.net:6699/live/1087/index.m3u8
兵器科技频道,http://zhancheng.x3322.net:6699/live/1083/index.m3u8
第一剧场频道,http://zhancheng.x3322.net:6699/live/1081/index.m3u8
怀旧剧场频道,http://zhancheng.x3322.net:6699/live/1088/index.m3u8
风云剧场频道,http://zhancheng.x3322.net:6699/live/1082/index.m3u8
风云音乐频道,http://rihou.cc:555/cqyx.php?id=fyyy
风云足球频道,http://zhancheng.x3322.net:6699/live/1080/index.m3u8
女性时尚频道,http://rihou.cc:555/cqyx.php?id=nxss
文化精品频道,http://zhancheng.x3322.net:6699/live/1079/index.m3u8
高尔网球频道,http://zhancheng.x3322.net:6699/live/1078/index.m3u8
央视台球频道,http://zhancheng.x3322.net:6699/live/1077/index.m3u8
电视指南频道,http://zhancheng.x3322.net:6699/live/1084/index.m3u8
早期教育频道,http://221.221.153.193:8888/rtp/239.3.1.79:4120
中国教育频道,http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8
中国教壹频道,http://rihou.cc:555/cqyx.php?id=cetv1
中国教肆频道,http://rihou.cc:555/cqyx.php?id=cetv4
中国天气频备,http://zhancheng.x3322.net:6699/live/1072/index.m3u8
中国书画频道,http://rihou.cc:555/cqyx.php?id=sh
中国交通频备,http://221.221.153.193:8888/rtp/239.3.1.188:8001
CETV1台频道,http://117.161.12.124/live/program/live/zgjy1t8m/8000000/mnf.m3u8
CETV4台频道,http://117.161.12.124/live/program/live/zgjy4hd8m/8000000/mnf.m3u8
五星体育频道,http://117.161.12.124/live/program/live/wxtyhd8m/8000000/mnf.m3u8
劲爆体育频道,http://182.104.192.98:8180/TV00000000000000000002@HHZT
新视觉hd频道,http://117.161.12.124/live/program/live/xsjhd8m/8000000/mnf.m3u8
魅力足球频道,http://rihou.cc:555/cqyx.php?id=mlxq
重温经典频道,http://rihou.cc:555/cqyx.php?id=cwjd
动作电影频道,http://117.114.153.18:8180/TV00000000000000000093@HHZT
家庭影院频道,http://117.114.153.18:8180/TV00000000000000000092@HHZT
影迷电影频道,http://zhancheng.x3322.net:6699/live/1066/index.m3u8
北京卫视频道,http://zhancheng.x3322.net:6699/live/1022/index.m3u8
东方卫视频道,http://zhancheng.x3322.net:6699/live/1028/index.m3u8
浙江卫视频道,http://zhancheng.x3322.net:6699/live/1020/index.m3u8
江苏卫视频道,http://zhancheng.x3322.net:6699/live/1021/index.m3u8
湖南卫视频道,http://zhancheng.x3322.net:6699/live/1019/index.m3u8
广东卫视频道,http://zhancheng.x3322.net:6699/live/1054/index.m3u8
深圳卫视频道,http://zhancheng.x3322.net:6699/live/1023/index.m3u8
安徽卫视频道,http://zhancheng.x3322.net:6699/live/1038/index.m3u8
山东卫视频道,http://zhancheng.x3322.net:6699/live/1025/index.m3u8
东南卫视频道,http://zhancheng.x3322.net:6699/live/1032/index.m3u8
天津卫视频道,http://zhancheng.x3322.net:6699/live/1027/index.m3u8
辽宁卫视频道,http://zhancheng.x3322.net:6699/live/1030/index.m3u8
海南卫视频道,http://zhancheng.x3322.net:6699/live/1044/index.m3u8
江西卫视频道,http://zhancheng.x3322.net:6699/live/1034/index.m3u8
湖北卫视频道,http://zhancheng.x3322.net:6699/live/1026/index.m3u8
广西卫视频道,http://zhancheng.x3322.net:6699/live/1031/index.m3u8
四川卫视频道,http://zhancheng.x3322.net:6699/live/1036/index.m3u8
河南卫视频道,http://zhancheng.x3322.net:6699/live/1029/index.m3u8
贵州卫视频道,http://221.221.153.193:8888/rtp/239.3.1.149:8076
河北卫视频道,http://zhancheng.x3322.net:6699/live/1033/index.m3u8
重庆卫视频道,http://zhancheng.x3322.net:6699/live/1037/index.m3u8
青海卫视频道,http://zhancheng.x3322.net:6699/live/1039/index.m3u8
新疆卫视频道,http://zhancheng.x3322.net:6699/live/1047/index.m3u8
甘肃卫视频道,http://zhancheng.x3322.net:6699/live/1040/index.m3u8
陕西卫视频道,http://zhancheng.x3322.net:6699/live/1041/index.m3u8
吉林卫视频道,http://zhancheng.x3322.net:6699/live/1035/index.m3u8
兵团卫视频道,http://mobilelive-ds.ysp.cctv.cn/ysp/2022606701.m3u8
黑龙江视频道,http://zhancheng.x3322.net:6699/live/1024/index.m3u8
mytv频道,#genre#
TVB新闻频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JILNp1pg4HB_eRo7ZilQts8/m3u8
TVB翡翠频道,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
TVB翡翠频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JKjsQI4gRWMd_yHTP8ztzyE/m3u8
TVB华丽频道,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbjade
TVB翡翠蓝光,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JDNBOyKWQ2EePBo9weJCMU8/m3u8
TVB明珠频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JBWud6lSPaN5tEYkUsLfOw4/m3u8
TVB星河频粤,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB星河频粤,http://cdn9.1689.us.kg/smt1.1.php?id=Xinhe
TVB娱乐频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JGyGtJKBgYnvsMuG1fHjau4/m3u8
TVB赛马频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JKeTA7LYPFBvUDcmgo8tXwA/m3u8
TVBPlus频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JEnZDiQQFttaeSVurgyQ01M/m3u8
mytv华剧频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JCi6ZKgNajkJryFS_A971wg/m3u8
mytv亚剧频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JKQMT20l2tneHXJ8qjFu9rI/m3u8
mytv少儿频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JDbyRMag6S9jBf1u0gumiAw/m3u8
mytv戏曲频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JOnf9oKssOzZUrakRXS3BMg/m3u8
mytv粤片频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JNDVIatDRnR8mtVQebsfV2M/m3u8
mytv千禧经典,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JBwWN6Gid3ZC0DADP3niHPA/m3u8
mytv千禧经典,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbclassic
mytv黄金翡翠,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JMgjfjmS9EmRM37fVDoFMXo/m3u8
mytv黄金华剧,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JFU6Kd8I_8o2k2ExGFIZ3KI/m3u8
pₒₚc电影频国,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JOl5wU7CnvX_hGGp7GINj_I/m3u8
ccm经典频国,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JAflTfGfe4Wp9RY8gzBJvd0/m3u8
美亚电影频粤,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JDpJ1BVPPw2649Zigx0-SFc/m3u8
凤凰中文频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JOIvNq87xtamXE0IEVw1xNU/m3u8
凤凰资讯频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JIJddAUqdoFlZ-7urSRk8mA/m3u8
凤凰香港频国,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JHKAje54JpzPbOQbzz6psNc/m3u8
香港卫视频道,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星空卫视频道,http://122.224.58.42:85/m3u8file/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
中国电影频国,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JFFXnjRRdILwTTovURzmt6A/m3u8
神州新闻频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JK9KpO_eLdihtoBHUreRSOs/m3u8
东方国际频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JOhIxv1Z-cFpTcjuMTWMxnY/m3u8
央视壹港澳国,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JN6ZvCkN99jjN8ARJUz8iXg/m3u8
创世电视频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JFY_DGCK8PfY3YcDdhhZUUY/m3u8
半岛电视频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JMaI-C4xh3VVWqDDSi65l-g/m3u8
cgtn英語频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JDddzLuw6YU3-bMSqKbRxXM/m3u8
tvbs新闻频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JAaiYaJbLHk3DmYjJh2qRcI/m3u8
tvbs亚洲频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JJ-ftT2I6z9SWwNjHTaE5Bc/m3u8
CNa亚洲频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JD0LdDfEtoUF08jc5Mu02WA/m3u8
Animax_频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JNnobMaKHd82JKBVtWVqxiI/m3u8
KIX-电影频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JPpsfUGL8wdf2w4GGVLuHZU/m3u8
AxN电影频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JDkgAeAE3ppgmGQrt2MVPV0/m3u8
nick动壹频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JDPxwmm-Int674zLh18fHIw/m3u8
nick动贰频道,http://38.46.221.138:80/play//k5lvOv0C4KhOqVNwrzJ7JL6nv3pw8a1gyunDIwIousk/m3u8
ROCk-综合台,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JDvjpvMADUNxVqQWi-hmewU/m3u8
ROCk-娱乐台,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JNHNnQ-rW0rYUNW4U7dKokY/m3u8
Thrill_电影台,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JD5UthU02aJcEN9SFKz0JXo/m3u8
tvn_韩综频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JPrKS9SO66U2Zrtm6WNOkuw/m3u8
ZO_儿童频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JFvcnmcPstlAhcv_sM5Cmuw/m3u8
Nhk新闻频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JKg6l83G54gqaleXy53COhg/m3u8
FRa新闻频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JNHoXqVK3hjfC5kL3qcxvX0/m3u8
D-w娱乐频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JHxvhXXT2Kq0duosI_Y6csU/m3u8
FASh_时尚台,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JK4j6aZ1lGMRmmj0zHcZvkU/m3u8
global-trek台,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JCxnBLiFSfzIjd8TjmyCleY/m3u8
Nature_Hd台,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JIg3MiCeF96N_TKZyoKCs3s/m3u8
Arirang_频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JE6VOGLzMfI0br3osh2DzR8/m3u8
mytv足球3台,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JE3OG-Ac_sltdhwXdVPPtF0/m3u8
mytv足球4台,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JEKrsod1o1FA1060TAGTf9o/m3u8
mytv足球5台,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JPywgOuTxuAGRGgs6NefH-k/m3u8
mytv足球6台,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JDjCbSnSRfALHsz7xakgTZ8/m3u8
曼联足球频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JOrNVzD8hML3iMHC7oGiGrU/m3u8
皇马足球频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JDtEHSP-bIs11WLNzQvuZLI/m3u8
劲爆体育频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JJovhou6o34DfqwMu3GKmsI/m3u8
魅力足球频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JMYOJYsooyApZNuDpCUtC4o/m3u8
足球风云频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JAp5BAxDKQpUOFebtdhLjr0/m3u8
联赛经典频道,http://38.46.221.138:80/play/k5lvOv0C4KhOqVNwrzJ7JGeCeYOxrI_0Pq0fwFY8AYk/m3u8
闽港限秒,#genre#
中天新闻频道,http://ali.hlspull.yximgs.com/live/0f782e3450d93c69da4c68a2de638d32.flv  
中天新闻频加,http://ali.hlspull.yximgs.com/live/115d93066d6da7192f2c0a55f25918e0.flv
中天亚洲频道,http://ali.hlspull.yximgs.com/live/3619df812a7d98a787054f16ad713f75.flv
寰宇新闻频道,http://ali.hlspull.yximgs.com/live/46fdce10edd3c9c4433f47f3335e4bd0.flv 
三立新闻频道,http://ali.hlspull.yximgs.com/live/tboxprohmcyoywqqubqdfqfvchtquqxcqxvcbsqfsdxcbmqsllivexw.flv   
年代新闻频道,http://ali.hlspull.yximgs.com/live/tboxprooqevdyscvbudloqlnsfqewtqudvbbqxfqnqlvcqdqdnqxw.flv 
非凡新闻频道,http://ali.hlspull.yximgs.com/live/tboxprosqtnfqqoqdcbfcxvqfuuqqweqqqsqyuhhdqsqhqynffxw.flv  
闽壹新闻频道,http://ali.hlspull.yximgs.com/live/tboxpromqfoyqvqsdvbnweqtquqqxqcvfqqsqfhfqddqqlhtbchyxw.flv
寰宇新闻频备,http://ali.hlspull.yximgs.com/live/tboxprophxehmffquxcxqveqeqyhmnqqxqqhqdhnqbnxfdqfhyxw.flv
民视新闻频道,http://ali.hlspull.yximgs.com/live/tboxprocnbvqfhdquqqvcbnqftuqscxqfqeqyhqqvqfmsxw.flv 
台视新闻频道,http://ali.hlspull.yximgs.com/live/tboxproncqqtqqudtqlqcvbcvntqqqsfwetqfvcbcxvdqbqfflvcqtsxw.flv
无线翡翠频粤,http://ali.hlspull.yximgs.com/live/tboxprofhwwqpthqyqtqqqxcxbfhqqfqvhdtqdvbtvqsqxqfsqqcvbctvbfc.flv 
无线赛马频粤,http://ali.hlspull.yximgs.com/live/tboxprovhxqcvfhoeqfqhdoqqqyhcvxclqhqotqyq9qssqfdqcvhthofsqqhyx18.flv 
